well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason,vshale
JUT-01,134098.0,451726.0,1655.2728,,43.6703,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.007612231746705249
JUT-01,134098.0,451726.0,1655.764,,42.8041,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.0
JUT-01,134098.0,451726.0,1656.2551999999998,,42.7589,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.0
JUT-01,134098.0,451726.0,1656.7464,,43.2326,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.0
JUT-01,134098.0,451726.0,1657.2376,,44.7248,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.08973088521883724
JUT-01,134098.0,451726.0,1657.7287999999999,,46.8832,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.2578151921455788
JUT-01,134098.0,451726.0,1658.22,,49.04,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.42577489988260414
JUT-01,134098.0,451726.0,1658.7112,,49.9183,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.49417206758727317
JUT-01,134098.0,451726.0,1659.2024,,47.5234,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.30767044293065104
JUT-01,134098.0,451726.0,1659.6935999999998,,45.3009,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.1345943809659162
JUT-01,134098.0,451726.0,1660.1848,,45.6296,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.16019172700317563
JUT-01,134098.0,451726.0,1660.676,,46.7707,,1659.5,1787.0,127.5,7.748433712693166,corrected,TVD computed from well path survey interpolation,0.24905431161867964
